t,sterile,allow_tregs_to_do_their_job,allow_tregs_to_suppress_cognate,randomize_tregs,epithelial_healthy,epithelial_inj_1,epithelial_inj_2,epithelial_inj_3,epithelial_inj_4,epithelial_inj_5,phagocyte_M0,phagocyte_M1_L_0,phagocyte_M1_L_1,phagocyte_M1_L_2,phagocyte_M1_L_3,phagocyte_M1_L_4,phagocyte_M1_L_5,phagocyte_M2_L_0,phagocyte_M2_L_1,phagocyte_M2_L_2,phagocyte_M2_L_3,phagocyte_M2_L_4,phagocyte_M2_L_5,commensal,pathogen,treg_resting,treg_active,C_ROS,C_Mac,C_M1,C_M2,P_ROS,P_Mac,P_M1,P_M2
0,0,1,False,1,17,7,1,0,0,0,207,0,0,12,0,0,0,0,0,0,0,0,0,31,18,219,0,0,3,0,0,0,0,0,0
1,0,1,False,1,19,5,1,0,0,0,201,0,0,6,12,0,0,0,0,0,0,0,0,36,18,209,10,0,6,0,0,1,1,0,0
2,0,1,False,1,20,4,1,0,0,0,195,0,0,6,6,12,0,0,0,0,0,0,0,33,14,206,13,4,12,0,0,4,3,0,0
3,0,1,False,1,20,5,0,0,0,0,192,0,0,3,6,6,12,0,0,0,0,0,0,28,9,206,13,11,16,0,0,10,3,0,0
4,0,1,False,1,23,1,1,0,0,0,191,0,0,1,3,6,6,0,0,0,0,0,0,25,6,206,13,17,19,0,0,13,4,0,0
5,0,1,False,1,24,0,0,1,0,0,190,0,0,1,1,3,6,0,0,0,0,0,0,23,2,205,14,22,21,0,0,15,6,0,0
6,0,1,False,1,22,2,0,0,1,0,190,0,0,0,1,1,3,0,0,0,0,0,0,17,2,201,18,27,27,0,0,15,6,0,0
7,0,1,False,1,21,2,1,0,0,1,190,0,0,0,0,1,1,0,0,0,0,0,0,17,2,201,18,31,29,0,0,16,6,0,0
8,0,1,False,1,19,2,3,0,1,0,189,0,0,1,0,0,1,0,0,0,0,0,0,15,2,201,18,35,33,0,0,17,6,0,0
9,0,1,False,1,19,2,3,0,1,0,182,0,0,7,1,0,0,0,0,0,0,0,0,14,2,200,19,41,36,0,0,19,6,0,0
10,0,1,False,1,19,3,1,1,0,1,180,0,0,2,7,1,0,0,0,0,0,0,0,13,2,197,22,49,37,0,0,20,7,0,0
11,0,1,False,1,18,4,1,1,1,0,178,0,0,2,2,7,1,0,0,0,0,0,0,14,2,197,22,55,38,0,0,22,7,0,0
12,0,1,False,1,19,2,1,2,0,1,169,0,0,9,2,2,7,0,0,0,0,0,0,15,1,194,25,61,40,0,0,25,8,0,0
13,0,1,False,1,20,1,1,2,0,1,169,0,5,1,9,2,2,0,0,0,0,0,0,16,1,191,28,67,42,0,0,27,9,0,0
14,0,1,False,1,20,2,0,1,1,1,168,0,1,6,1,9,2,0,0,0,0,0,0,13,1,189,30,75,45,0,0,29,9,0,0
15,0,1,False,1,20,2,0,0,3,0,168,0,0,1,6,1,9,0,0,0,0,0,0,15,1,187,32,79,47,0,0,30,10,0,0
16,0,1,False,1,22,0,0,0,2,1,169,0,0,0,1,6,1,0,0,0,0,0,0,16,1,190,29,85,48,0,0,32,10,0,0
17,0,1,False,1,22,0,0,0,3,0,169,0,0,0,0,1,6,0,0,0,0,0,0,16,1,191,28,91,49,0,0,32,11,0,0
18,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,1,0,0,0,0,0,0,15,1,191,28,96,51,0,0,33,11,0,0
19,0,1,False,1,22,0,0,0,2,1,169,0,0,0,0,0,0,0,0,0,0,0,0,15,1,192,27,101,53,0,0,33,12,0,0
20,0,1,False,1,22,0,0,0,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,17,1,191,28,105,54,0,0,34,12,0,0
21,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,0,0,0,0,0,0,0,18,1,190,29,109,56,0,0,35,12,0,0
22,0,1,False,1,22,0,0,0,1,2,169,0,0,0,0,0,0,0,0,0,0,0,0,17,1,190,29,116,57,0,0,36,12,0,0
23,0,1,False,1,22,0,0,0,1,2,170,0,0,0,0,0,0,0,0,0,0,0,0,16,1,188,31,122,59,0,0,37,12,0,0
24,0,1,False,1,22,0,0,0,2,1,170,0,0,0,0,0,0,0,0,0,0,0,0,17,1,189,30,126,61,0,0,37,13,0,0
25,0,1,False,1,22,0,0,0,0,3,171,0,0,0,0,0,0,0,0,0,0,0,0,17,1,191,28,132,62,0,0,38,13,0,0
26,0,1,False,1,22,0,0,0,2,1,171,0,0,0,0,0,0,0,0,0,0,0,0,16,1,191,28,138,64,0,0,39,13,0,0
27,0,1,False,1,22,0,0,0,2,1,171,0,0,0,0,0,0,0,0,0,0,0,0,17,1,190,29,143,65,0,0,39,14,0,0
28,0,1,False,1,22,0,0,0,2,1,172,0,0,0,0,0,0,0,0,0,0,0,0,18,1,192,27,147,67,0,0,40,14,0,0
29,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,21,1,192,27,148,70,0,0,40,15,0,0
30,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,24,1,190,29,149,73,0,0,40,16,0,0
31,0,1,False,1,22,0,0,0,1,2,172,0,0,0,0,0,0,0,0,0,0,0,0,24,1,190,29,154,75,0,0,40,17,0,0
32,0,1,False,1,22,0,0,0,2,1,173,0,0,0,0,0,0,0,0,0,0,0,0,21,1,191,28,161,78,0,0,40,18,0,0
33,0,1,False,1,22,0,0,0,2,1,174,0,0,0,0,0,0,0,0,0,0,0,0,22,1,190,29,164,81,0,0,40,19,0,0
34,0,1,False,1,22,0,0,0,2,1,175,0,0,0,0,0,0,0,0,0,0,0,0,23,1,189,30,168,83,0,0,40,20,0,0
35,0,1,False,1,22,0,0,0,1,2,175,0,0,0,0,0,0,0,0,0,0,0,0,25,1,189,30,171,85,0,0,41,20,0,0
36,0,1,False,1,22,0,0,0,1,2,176,0,0,0,0,0,0,0,0,0,0,0,0,22,1,190,29,177,89,0,0,41,21,0,0
37,0,1,False,1,22,0,0,0,2,1,176,0,0,0,0,0,0,0,0,0,0,0,0,25,1,190,29,178,92,0,0,42,21,0,0
38,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,26,1,197,22,181,95,0,0,42,22,0,0
39,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,27,1,199,20,185,97,0,0,42,23,0,0
40,0,1,False,1,22,0,0,0,1,2,177,0,0,0,0,0,0,0,0,0,0,0,0,29,1,199,20,187,100,0,0,42,24,0,0
41,0,1,False,1,22,0,0,0,1,2,177,0,0,0,0,0,0,0,0,0,0,0,0,29,1,199,20,192,102,0,0,42,25,0,0
42,0,1,False,1,22,0,0,0,1,2,177,0,0,0,0,0,0,0,0,0,0,0,0,29,1,199,20,196,105,0,0,42,26,0,0
43,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,30,1,200,19,199,108,0,0,42,27,0,0
44,0,1,False,1,22,0,0,0,2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,28,1,198,21,204,112,0,0,43,27,0,0
45,0,1,False,1,22,0,0,0,2,1,178,0,0,0,0,0,0,0,0,0,0,0,0,30,1,199,20,208,113,0,0,43,28,0,0
46,0,1,False,1,22,0,0,0,2,1,178,0,0,0,0,0,0,0,0,0,0,0,0,31,1,200,19,212,115,0,0,43,29,0,0
47,0,1,False,1,22,0,0,0,1,2,178,0,0,0,0,0,0,0,0,0,0,0,0,33,1,198,21,214,118,0,0,43,30,0,0
48,0,1,False,1,22,0,0,0,1,2,178,0,0,0,0,0,0,0,0,0,0,0,0,33,1,198,21,219,120,0,0,43,31,0,0
49,0,1,False,1,22,0,0,0,0,3,178,0,0,0,0,0,0,0,0,0,0,0,0,31,1,198,21,225,123,0,0,43,32,0,0
50,0,1,False,1,22,0,0,0,3,0,178,0,0,0,0,0,0,0,0,0,0,0,0,34,1,199,20,227,125,0,0,44,32,0,0
51,0,1,False,1,22,0,0,0,1,2,178,0,0,0,0,0,0,0,0,0,0,0,0,35,1,197,22,230,127,0,0,44,33,0,0
52,0,1,False,1,22,0,0,0,3,0,179,0,0,0,0,0,0,0,0,0,0,0,0,36,1,196,23,234,129,0,0,44,34,0,0
53,0,1,False,1,22,0,0,0,0,3,179,0,0,0,0,0,0,0,0,0,0,0,0,36,1,197,22,238,131,0,0,45,34,0,0
54,0,1,False,1,22,0,0,0,1,2,180,0,0,0,0,0,0,0,0,0,0,0,0,39,1,199,20,240,133,0,0,45,35,0,0
55,0,1,False,1,22,0,0,0,1,2,181,0,0,0,0,0,0,0,0,0,0,0,0,42,1,199,20,242,135,0,0,45,36,0,0
56,0,1,False,1,22,0,0,0,2,1,182,0,0,0,0,0,0,0,0,0,0,0,0,38,1,198,21,251,137,0,0,45,37,0,0
57,0,1,False,1,22,0,0,0,1,2,182,0,0,0,0,0,0,0,0,0,0,0,0,39,1,198,21,255,139,0,0,45,38,0,0
58,0,1,False,1,22,0,0,0,3,0,182,0,0,0,0,0,0,0,0,0,0,0,0,36,1,199,20,262,142,0,0,45,39,0,0
59,0,1,False,1,22,0,0,0,2,1,182,0,0,0,0,0,0,0,0,0,0,0,0,37,1,200,19,267,142,0,0,45,40,0,0
60,0,1,False,1,22,0,0,0,0,3,182,0,0,0,0,0,0,0,0,0,0,0,0,39,1,200,19,270,144,0,0,45,41,0,0
61,0,1,False,1,22,0,0,0,2,1,182,0,0,0,0,0,0,0,0,0,0,0,0,38,1,198,21,276,146,0,0,45,42,0,0
62,0,1,False,1,22,0,0,0,3,0,182,0,0,0,0,0,0,0,0,0,0,0,0,42,1,199,20,278,147,0,0,46,42,0,0
63,0,1,False,1,22,0,0,0,1,2,182,0,0,0,0,0,0,0,0,0,0,0,0,40,1,196,23,285,148,0,0,47,42,0,0
64,0,1,False,1,22,0,0,0,2,1,182,0,0,0,0,0,0,0,0,0,0,0,0,41,1,198,21,289,150,0,0,47,43,0,0
65,0,1,False,1,22,0,0,0,0,3,182,0,0,0,0,0,0,0,0,0,0,0,0,42,1,197,22,294,151,0,0,48,43,0,0
66,0,1,False,1,22,0,0,0,0,3,182,0,0,0,0,0,0,0,0,0,0,0,0,44,1,197,22,296,154,0,0,48,44,0,0
67,0,1,False,1,22,0,0,0,3,0,182,0,0,0,0,0,0,0,0,0,0,0,0,46,1,197,22,298,157,0,0,48,45,0,0
68,0,1,False,1,22,0,0,1,0,2,182,0,0,0,0,0,0,0,0,0,0,0,0,48,1,196,23,299,160,0,0,48,46,0,0
69,0,1,False,1,22,0,0,0,1,2,183,0,0,0,0,0,0,0,0,0,0,0,0,50,1,196,23,302,162,0,0,48,47,0,0
70,0,1,False,1,22,0,0,0,3,0,184,0,0,0,0,0,0,0,0,0,0,0,0,49,1,197,22,306,166,0,0,49,47,0,0
71,0,1,False,1,22,0,0,0,1,2,184,0,0,0,0,0,0,0,0,0,0,0,0,49,1,197,22,309,169,0,0,49,48,0,0
72,0,1,False,1,22,0,0,0,1,2,184,0,0,0,0,0,0,0,0,0,0,0,0,49,1,198,21,314,171,0,0,50,48,0,0
73,0,1,False,1,22,0,0,0,1,2,184,0,0,0,0,0,0,0,0,0,0,0,0,49,1,199,20,319,173,0,0,51,48,0,0
74,0,1,False,1,22,0,0,0,1,2,185,0,0,0,0,0,0,0,0,0,0,0,0,52,1,198,21,323,173,0,0,51,49,0,0
75,0,1,False,1,22,0,0,0,2,1,186,0,0,0,0,0,0,0,0,0,0,0,0,55,1,197,22,324,176,0,0,51,50,0,0
76,0,1,False,1,22,0,0,1,1,1,186,0,0,0,0,0,0,0,0,0,0,0,0,53,1,196,23,332,177,0,0,51,51,0,0
77,0,1,False,1,22,0,0,1,0,2,186,0,0,0,0,0,0,0,0,0,0,0,0,54,1,197,22,335,179,0,0,51,52,0,0
78,0,1,False,1,22,0,1,0,0,2,187,0,0,1,0,0,0,0,0,0,0,0,0,55,1,195,24,340,180,0,0,51,53,0,0
79,0,1,False,1,22,1,0,0,0,2,187,0,0,0,1,0,0,0,0,0,0,0,0,54,1,190,29,344,183,0,0,51,54,0,0
80,0,1,False,1,22,1,0,0,0,2,191,0,0,0,0,1,0,0,0,0,0,0,0,57,1,191,28,344,186,0,0,51,55,0,0
81,0,1,False,1,22,1,0,0,0,2,193,0,0,0,0,0,1,0,0,0,0,0,0,58,1,192,27,346,189,0,0,51,56,0,0
82,0,1,False,1,23,0,0,0,2,0,193,0,0,0,0,0,0,0,0,0,0,0,0,56,1,192,27,354,189,0,0,51,57,0,0
83,0,1,False,1,23,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,58,1,191,28,357,190,0,0,51,57,0,0
84,0,1,False,1,23,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,55,1,191,28,363,193,0,0,52,57,0,0
85,0,1,False,1,23,0,0,0,2,0,194,0,0,0,0,0,0,0,0,0,0,0,0,55,1,191,28,367,195,0,0,53,57,0,0
86,0,1,False,1,23,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,57,1,193,26,371,195,0,0,53,57,0,0
87,0,1,False,1,23,0,0,0,2,0,194,0,0,0,0,0,0,0,0,0,0,0,0,50,1,193,26,377,202,0,0,53,58,0,0
88,0,1,False,1,23,0,0,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,48,1,195,24,382,205,0,0,53,58,0,0
89,0,1,False,1,23,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,50,1,196,23,385,206,0,0,53,59,0,0
90,0,1,False,1,23,0,0,0,2,0,194,0,0,0,0,0,0,0,0,0,0,0,0,49,1,197,22,388,210,0,0,54,59,0,0
91,0,1,False,1,22,1,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,48,1,200,19,389,216,0,0,54,59,0,0
92,0,1,False,1,22,1,0,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,46,1,201,18,393,220,0,0,55,59,0,0
93,0,1,False,1,23,0,0,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,44,1,203,16,397,224,0,0,55,60,0,0
94,0,1,False,1,23,0,0,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,44,1,205,14,398,229,0,0,55,61,0,0
95,0,1,False,1,23,0,0,0,2,0,194,0,0,0,0,0,0,0,0,0,0,0,0,46,1,204,15,400,231,0,0,55,62,0,0
96,0,1,False,1,23,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,45,1,205,14,403,235,0,0,55,62,0,0
97,0,1,False,1,23,0,0,0,0,2,195,0,0,0,0,0,0,0,0,0,0,0,0,46,1,205,14,406,237,0,0,55,63,0,0
98,0,1,False,1,23,0,0,0,1,1,195,0,0,0,0,0,0,0,0,0,0,0,0,46,1,205,14,409,240,0,0,55,64,0,0
99,0,1,False,1,23,0,0,0,1,1,195,0,0,0,0,0,0,0,0,0,0,0,0,48,1,204,15,409,244,0,0,55,65,0,0
100,0,1,False,1,23,0,0,0,1,1,192,0,0,3,0,0,0,0,0,0,0,0,0,51,1,203,16,410,246,0,0,55,66,0,0
101,0,1,False,1,23,0,0,0,1,1,192,0,0,0,3,0,0,0,0,0,0,0,0,52,1,201,18,411,250,0,0,55,67,0,0
102,0,1,False,1,23,0,0,0,0,2,192,0,0,0,0,3,0,0,0,0,0,0,0,52,1,201,18,413,254,0,0,56,67,0,0
103,0,1,False,1,23,0,0,0,1,1,193,0,0,0,0,0,3,0,0,0,0,0,0,52,1,202,17,416,257,0,0,56,68,0,0
104,0,1,False,1,23,0,0,0,2,0,193,0,0,0,0,0,0,0,0,0,0,0,0,50,1,201,18,419,262,0,0,57,68,0,0
105,0,1,False,1,23,0,0,0,0,2,193,0,0,0,0,0,0,0,0,0,0,0,0,49,1,195,24,424,264,0,0,57,68,0,0
106,0,1,False,1,23,0,0,0,1,1,193,0,0,0,0,0,0,0,0,0,0,0,0,50,1,196,23,426,267,0,0,57,69,0,0
107,0,1,False,1,23,0,0,0,1,1,193,0,0,0,0,0,0,0,0,0,0,0,0,51,1,195,24,430,268,0,0,58,69,0,0
108,0,1,False,1,23,0,0,0,0,2,193,0,0,0,0,0,0,0,0,0,0,0,0,54,1,195,24,431,270,0,0,59,69,0,0
109,0,1,False,1,23,0,0,0,2,0,193,0,0,0,0,0,0,0,0,0,0,0,0,57,1,196,23,433,271,0,0,59,70,0,0
110,0,1,False,1,23,0,0,0,0,2,193,0,0,0,0,0,0,0,0,0,0,0,0,57,1,197,22,435,275,0,0,59,70,0,0
111,0,1,False,1,23,0,0,0,2,0,193,0,0,0,0,0,0,0,0,0,0,0,0,57,1,195,24,440,276,0,0,59,71,0,0
112,0,1,False,1,23,0,0,0,1,1,193,0,0,0,0,0,0,0,0,0,0,0,0,57,1,194,25,443,279,0,0,59,71,0,0
113,0,1,False,1,23,0,0,0,1,1,196,0,0,0,0,0,0,0,0,0,0,0,0,58,1,193,26,445,282,0,0,60,71,0,0
114,0,1,False,1,23,0,0,0,1,1,198,0,0,0,0,0,0,0,0,0,0,0,0,58,1,195,24,448,285,0,0,60,72,0,0
115,0,1,False,1,23,0,0,0,0,2,199,0,0,0,0,0,0,0,0,0,0,0,0,55,1,195,24,453,289,0,0,60,73,0,0
116,0,1,False,1,23,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,54,1,195,24,455,294,0,0,61,73,0,0
117,0,1,False,1,23,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,56,1,195,24,457,296,0,0,61,74,0,0
118,0,1,False,1,23,0,0,0,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,55,1,198,21,461,299,0,0,61,75,0,0
119,0,1,False,1,23,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,56,1,199,20,464,301,0,0,61,75,0,0
120,0,1,False,1,23,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,57,1,203,16,468,302,0,0,62,75,0,0
121,0,1,False,1,23,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,58,1,203,16,469,306,0,0,62,76,0,0
122,0,1,False,1,23,0,0,0,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,61,1,203,16,470,308,0,0,62,77,0,0
123,0,1,False,1,23,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,65,1,204,15,470,310,0,0,62,77,0,0
124,0,1,False,1,23,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,62,1,204,15,475,314,0,0,62,78,0,0
125,0,1,False,1,23,0,0,0,0,2,200,0,0,0,0,0,0,0,0,0,0,0,0,62,1,205,14,478,317,0,0,62,79,0,0
126,0,1,False,1,23,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,62,1,204,15,480,321,0,0,62,80,0,0
127,0,1,False,1,23,0,0,0,2,0,200,0,0,0,0,0,0,0,0,0,0,0,0,64,1,207,12,482,323,0,0,62,81,0,0
128,0,1,False,1,23,0,0,0,0,2,201,0,0,0,0,0,0,0,0,0,0,0,0,64,1,207,12,486,325,0,0,62,81,0,0
129,0,1,False,1,23,0,0,0,1,1,201,0,0,0,0,0,0,0,0,0,0,0,0,66,1,208,11,487,328,0,0,62,82,0,0
130,0,1,False,1,23,0,0,0,0,2,201,0,0,0,0,0,0,0,0,0,0,0,0,66,1,208,11,490,331,0,0,62,83,0,0
131,0,1,False,1,23,0,0,0,0,2,201,0,0,0,0,0,0,0,0,0,0,0,0,68,1,209,10,491,334,0,0,62,84,0,0
132,0,1,False,1,23,0,0,0,1,1,199,0,0,2,0,0,0,0,0,0,0,0,0,69,1,209,10,492,338,0,0,62,85,0,0
133,0,1,False,1,23,0,0,0,2,0,195,0,0,4,2,0,0,0,0,0,0,0,0,67,1,210,9,497,341,0,0,62,86,0,0
134,0,1,False,1,23,0,0,0,0,2,191,0,0,4,4,2,0,0,0,0,0,0,0,63,1,207,12,500,348,0,0,62,86,0,0
135,0,1,False,1,22,1,0,0,1,1,191,0,0,0,4,4,2,0,0,0,0,0,0,63,1,207,12,502,352,0,0,62,87,0,0
136,0,1,False,1,22,0,1,0,0,2,191,0,0,0,0,4,4,0,0,0,0,0,0,61,1,206,13,506,356,0,0,62,88,0,0
137,0,1,False,1,22,0,1,0,1,1,191,0,0,0,0,0,4,0,0,0,0,0,0,60,1,205,14,511,358,0,0,62,89,0,0
138,0,1,False,1,22,0,0,1,0,2,192,0,0,0,0,0,0,0,0,0,0,0,0,58,1,205,14,515,362,0,0,63,89,0,0
139,0,1,False,1,22,0,0,1,1,1,192,0,0,0,0,0,0,0,0,0,0,0,0,58,1,204,15,519,365,0,0,63,90,0,0
140,0,1,False,1,22,0,0,1,1,1,192,0,0,0,0,0,0,0,0,0,0,0,0,57,1,203,16,524,367,0,0,63,91,0,0
141,0,1,False,1,22,0,0,1,1,1,158,0,4,34,0,0,0,0,0,0,0,0,0,54,1,201,18,528,372,0,0,63,92,0,0
142,0,1,False,1,22,0,0,0,2,1,158,0,0,4,34,0,0,0,0,0,0,0,0,57,1,201,18,531,372,0,0,63,93,0,0
143,0,1,False,1,22,0,0,0,1,2,158,0,0,0,4,34,0,0,0,0,0,0,0,57,1,200,19,536,374,0,0,64,93,0,0
144,0,1,False,1,22,0,0,0,2,1,158,0,0,0,0,4,34,0,0,0,0,0,0,56,1,200,19,541,377,0,0,64,94,0,0
145,0,1,False,1,22,0,0,0,1,2,158,0,0,0,0,0,4,0,0,0,0,0,0,59,1,202,17,543,379,0,0,64,95,0,0
146,0,1,False,1,22,0,0,0,1,2,158,0,0,0,0,0,0,0,0,0,0,0,0,59,1,202,17,546,383,0,0,65,95,0,0
147,0,1,False,1,22,0,0,0,1,2,136,0,6,22,0,0,0,0,0,0,0,0,0,60,1,201,18,549,386,0,0,65,96,0,0
148,0,1,False,1,22,0,0,0,2,1,136,0,0,6,22,0,0,0,0,0,0,0,0,62,1,200,19,550,390,0,0,65,97,0,0
149,0,1,False,1,22,0,0,0,3,0,136,0,0,0,6,22,0,0,0,0,0,0,0,62,1,200,19,555,392,0,0,65,98,0,0
150,0,1,False,1,22,0,0,0,1,2,136,0,0,0,0,6,22,0,0,0,0,0,0,60,1,200,19,561,394,0,0,65,99,0,0
151,0,1,False,1,22,0,0,0,2,1,136,0,0,0,0,0,6,0,0,0,0,0,0,61,1,200,19,564,397,0,0,65,100,0,0
152,0,1,False,1,22,0,0,0,2,1,136,0,0,0,0,0,0,0,0,0,0,0,0,59,1,200,19,570,400,0,0,65,101,0,0
153,0,1,False,1,22,0,0,0,2,1,136,0,0,0,0,0,0,0,0,0,0,0,0,57,1,202,17,576,403,0,0,66,101,0,0
154,0,1,False,1,22,0,0,0,1,2,136,0,0,0,0,0,0,0,0,0,0,0,0,58,1,201,18,579,406,0,0,67,101,0,0
155,0,1,False,1,21,1,0,0,1,2,137,0,0,0,0,0,0,0,0,0,0,0,0,59,1,200,19,583,408,0,0,67,102,0,0
156,0,1,False,1,21,0,1,0,0,3,137,0,0,0,0,0,0,0,0,0,0,0,0,59,1,200,19,588,410,0,0,67,104,0,0
157,0,1,False,1,21,0,0,1,1,2,137,0,0,0,0,0,0,0,0,0,0,0,0,57,0,201,18,593,415,0,0,68,106,0,0
158,0,1,False,1,20,1,0,1,0,3,138,0,0,0,0,0,0,0,0,0,0,0,0,57,0,202,17,596,420,0,0,69,107,0,0
159,0,1,False,1,20,1,0,0,3,1,139,0,0,0,0,0,0,0,0,0,0,0,0,57,0,200,19,599,426,0,0,69,110,0,0
160,0,1,False,1,21,0,0,0,3,1,139,0,0,0,0,0,0,0,0,0,0,0,0,58,0,201,18,603,430,0,0,71,111,0,0
161,0,1,False,1,20,1,0,0,3,1,139,0,0,0,0,0,0,0,0,0,0,0,0,59,0,200,19,606,434,0,0,71,113,0,0
162,0,1,False,1,20,1,0,0,1,3,139,0,0,0,0,0,0,0,0,0,0,0,0,59,0,201,18,613,436,0,0,73,114,0,0
163,0,1,False,1,20,0,1,0,1,3,140,0,0,0,0,0,0,0,0,0,0,0,0,62,0,203,16,616,439,0,0,73,117,0,0
164,0,1,False,1,20,0,1,0,3,1,140,0,0,0,0,0,0,0,0,0,0,0,0,65,0,199,20,619,442,0,0,74,119,0,0
165,0,1,False,1,20,0,1,0,1,3,140,0,0,0,0,0,0,0,0,0,0,0,0,64,0,198,21,629,442,0,0,75,121,0,0
166,0,1,False,1,20,0,0,1,1,3,130,0,9,11,0,0,0,0,0,0,0,0,0,64,0,197,22,635,445,0,0,76,123,0,0
167,0,1,False,1,20,0,0,0,2,3,130,0,0,9,11,0,0,0,0,0,0,0,0,63,0,197,22,639,451,0,0,77,125,0,0
168,0,1,False,1,20,0,0,0,0,5,117,0,10,13,9,11,0,0,0,0,0,0,0,63,0,197,22,644,455,0,0,77,128,0,0
169,0,1,False,1,20,0,0,0,3,2,108,0,3,19,13,9,11,0,0,0,0,0,0,63,0,196,23,647,462,0,0,77,132,0,0
170,0,1,False,1,20,0,0,0,1,4,95,0,13,16,19,13,9,0,0,0,0,0,0,65,0,196,23,649,467,0,0,77,135,0,0
171,0,1,False,1,20,0,0,0,3,2,89,0,12,19,16,19,13,0,0,0,0,0,0,67,0,199,20,652,472,0,0,78,137,0,0
172,0,1,False,1,20,0,0,0,4,1,89,0,0,12,19,16,19,0,0,0,0,0,0,67,0,198,21,658,475,0,0,78,140,0,0
173,0,1,False,1,20,0,0,0,1,4,89,0,0,0,12,19,16,0,0,0,0,0,0,64,0,198,21,667,478,0,0,78,143,0,0
174,0,1,False,1,20,0,0,0,3,2,90,0,0,0,0,12,19,0,0,0,0,0,0,65,0,196,23,670,484,0,0,78,146,0,0
175,0,1,False,1,20,0,0,0,3,2,90,0,0,0,0,0,12,0,0,0,0,0,0,63,0,196,23,677,488,0,0,78,149,0,0
176,0,1,False,1,20,0,0,0,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,59,0,197,22,685,493,0,0,78,152,0,0
177,0,1,False,1,20,0,0,0,1,4,90,0,0,0,0,0,0,0,0,0,0,0,0,56,0,197,22,692,498,0,0,78,155,0,0
178,0,1,False,1,20,0,0,0,1,4,90,0,0,0,0,0,0,0,0,0,0,0,0,58,0,195,24,696,502,0,0,79,157,0,0
179,0,1,False,1,20,0,0,0,2,3,90,0,0,0,0,0,0,0,0,0,0,0,0,57,0,196,23,699,510,0,0,79,160,0,0
180,0,1,False,1,20,0,0,1,2,2,90,0,0,0,0,0,0,0,0,0,0,0,0,57,0,196,23,703,515,0,0,79,163,0,0
181,0,1,False,1,20,0,0,0,4,1,90,0,0,0,0,0,0,0,0,0,0,0,0,59,0,196,23,707,518,0,0,79,166,0,0
182,0,1,False,1,20,0,0,0,1,4,90,0,0,0,0,0,0,0,0,0,0,0,0,59,0,197,22,711,523,0,0,79,169,0,0
183,0,1,False,1,20,0,0,0,1,4,90,0,0,0,0,0,0,0,0,0,0,0,0,56,0,197,22,716,531,0,0,79,172,0,0
184,0,1,False,1,20,0,0,0,1,4,91,0,0,0,0,0,0,0,0,0,0,0,0,59,0,197,22,718,536,0,0,79,175,0,0
185,0,1,False,1,20,0,0,0,3,2,91,0,0,0,0,0,0,0,0,0,0,0,0,59,0,197,22,722,542,0,0,80,177,0,0
186,0,1,False,1,20,0,0,0,3,2,91,0,0,0,0,0,0,0,0,0,0,0,0,61,0,197,22,724,547,0,0,80,180,0,0
187,0,1,False,1,20,0,0,0,2,3,87,0,43,4,0,0,0,0,0,0,0,0,0,62,0,198,21,730,549,0,0,81,182,0,0
188,0,1,False,1,20,0,0,0,2,3,78,0,28,52,4,0,0,0,0,0,0,0,0,63,0,197,22,735,552,0,0,83,183,0,0
